"Hour";"Subscriber Operator Name";"Origin Country Name";"Origin Operator Name";"SUM Transactions";"# Successes"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Italy";"WIND (IT)";"2";"2"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Canada";"ROGERS WIRELESS (CA)";"1";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"France";"SFR (FR)";"1";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Turkey";"TURKCELL (TR)";"5";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Ecuador";"CONECEL (EC)";"7";"2"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Hongkong, China";"CSL LTD (HK)";"2";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Israel (State of)";"PELEPHONE (IL)";"1";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"13";"3"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Bolivia (Republic of)";"NUEVATEL (BO)";"2";"2"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Hungary (Republic of)";"VODAFONE (HU)";"1";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Colombia (Republic of)";"MOVISTAR (CO)";"80";"18"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"United States of America";"AT&T MOBILITY (US)";"22";"19"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"O2 (DE)";"18";"5"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Italy";"VODAFONE (IT)";"4";"2"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Norway";"TELENOR (NO)";"2";"1"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Ecuador";"MOVISTAR (EC)";"27";"5"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Argentine Republic";"MOVISTAR (AR)";"6";"5"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Dominican Republic";"TRILOGY (DO)";"1";"1"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Bolivia (Republic of)";"NUEVATEL (BO)";"2";"2"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"O2 (DE)";"21";"6"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"15";"3"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Spain";"MOVISTAR (ES)";"63";"25"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"France";"BOUYGUES TELECOM (FR)";"10";"3"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Turkey";"VODAFONE (TR)";"1";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Austria";"T-MOBILE (AT)";"2";"2"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Nicaragua";"TELEFONICA DE NICARAGUA (NI)";"5";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Netherlands (Kingdom of the)";"KPN (NL)";"1";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"16";"4"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Switzerland (Confederation of)";"ORANGE (CH)";"1";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"United Kingdom of Great Britain and Northern Ireland";"ORANGE (GB)";"2";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"United Kingdom of Great Britain and Northern Ireland";"T-MOBILE UK (GB)";"4";"2"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Chile";"TELEFONICA (CL)";"12";"10"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Italy";"H3G (IT)";"2";"1"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Italy";"TIM (IT)";"2";"2"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Canada";"ROGERS WIRELESS (CA)";"2";"1"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"France";"BOUYGUES TELECOM (FR)";"18";"3"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Mexico";"TELEFONICA MOVILES (MX)";"7";"4"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Ecuador";"CONECEL (EC)";"5";"1"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Jamaica";"DIGICEL (JM)";"3";"2"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Ukraine";"KYIVSTAR (UA)";"1";"1"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"United Arab Emirates";"ETISALAT (AE)";"3";"1"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"United States of America";"T-MOBILE (US)";"73";"29"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"China (People's Republic of)";"CHINA MOBILE (CN)";"6";"6"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Switzerland (Confederation of)";"ORANGE (CH)";"3";"3"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Mexico";"TELEFONICA MOVILES (MX)";"3";"3"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Jamaica";"DIGICEL (JM)";"11";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Argentine Republic";"MOVISTAR (AR)";"4";"4"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Dominican Republic";"ORANGE (DO)";"2";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"United States of America";"T-MOBILE (US)";"72";"27"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"12";"6"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Spain";"MOVISTAR (ES)";"63";"29"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"France";"ORANGE F (FR)";"47";"9"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Austria";"T-MOBILE (AT)";"1";"1"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Nicaragua";"TELEFONICA DE NICARAGUA (NI)";"5";"1"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"India (Republic of)";"VEMSL VODAFONE  (DELHI) (IN)";"3";"3"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"15";"3"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Paraguay (Republic of)";"TELECEL (PY)";"3";"2"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Brazil (Federative Republic of)";"VIVO (BR)";"1";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Chile";"TELEFONICA (CL)";"12";"10"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Italy";"TIM (IT)";"1";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Italy";"VODAFONE (IT)";"1";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Japan";"DOCOMO (JP)";"2";"2"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Spain";"VODAFONE (ES)";"1";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"France";"ORANGE F (FR)";"45";"12"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Ecuador";"MOVISTAR (EC)";"30";"6"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Roaming HUB";"ROAMING HUB (RH)";"5";"4"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Czech Republic";"O2 (CZ)";"2";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"United Arab Emirates";"ETISALAT (AE)";"2";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"China (People's Republic of)";"CHINA MOBILE (CN)";"15";"6"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"TELEKOM (DE)";"2";"1"
"2016/10/24 08:00:00";"MOVISTAR (PE)";"United Kingdom of Great Britain and Northern Ireland";"H3G (GB)";"1";"1"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Italy";"WIND (IT)";"1";"1"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Japan";"DOCOMO (JP)";"4";"3"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Roaming HUB";"ROAMING HUB (RH)";"2";"2"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Czech Republic";"O2 (CZ)";"1";"1"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Hongkong, China";"CSL LTD (HK)";"1";"1"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Dominican Republic";"ORANGE (DO)";"2";"2"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Colombia (Republic of)";"MOVISTAR (CO)";"79";"16"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"United States of America";"AT&T MOBILITY (US)";"19";"12"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"TELEKOM (DE)";"6";"3"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"Switzerland (Confederation of)";"SWISSCOM (CH)";"1";"1"
"2016/10/24 09:00:00";"MOVISTAR (PE)";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"16";"7"
